,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
2836,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2837,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2838,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2839,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2840,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2846,PstI.TP145796,PF04398,"PTHR31676,PTHR31676:SF0",,,,,AT3G08890,,"Protein of unknown function, DUF538",LOC_Os05g27950,NA,"DUF538 domain containing protein, putative, expressed"
2847,PstI.TP148299,PF04640,"PTHR31065,PTHR31065:SF10",,,,,AT4G17900,,PLATZ transcription factor family protein,LOC_Os02g46610,NA,"zinc-binding protein, putative, expressed"
2850,PstI.TP148299,PF13639,"PTHR14155,PTHR14155:SF120",,,,"GO:0008270,GO:0005515",AT5G17600,,RING/U-box superfamily protein,LOC_Os02g46600,NA,"RING-H2 finger protein ATL5G, putative, expressed"
2851,PstI.TP148299,PF00010,"PTHR11969,PTHR11969:SF27",,,,GO:0046983,AT3G24140,FMA,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os02g46560,NA,"helix-loop-helix DNA-binding protein, putative, expressed"
2852,PstI.TP150197,PF00149,"PTHR11668,PTHR11668:SF267",KOG0374,,,GO:0016787,AT1G07010,,Calcineurin-like metallo-phosphoesterase superfamily protein,LOC_Os10g25430,NA,"Ser/Thr protein phosphatase family protein, putative, expressed"
2854,PstI.TP152556,PF02152,"PTHR20941,PTHR20941:SF9",,4.1.2.25,K01633,"GO:0006760,GO:0004150",AT3G11750,FOLB1,Dihydroneopterin aldolase,LOC_Os09g38759,NA,"dihydroneopterin aldolase, putative, expressed"
2855,PstI.TP152556,PF03381,"PTHR10926,PTHR10926:SF27",KOG2952,,,GO:0016020,AT1G79450,ALIS5,ALA-interacting subunit 5,LOC_Os09g38768,NA,"cell cycle control protein, putative, expressed"
2856,PstI.TP152556,PF03381,"PTHR10926,PTHR10926:SF27",KOG2952,,,GO:0016020,AT1G79450,ALIS5,ALA-interacting subunit 5,LOC_Os09g38768,NA,"cell cycle control protein, putative, expressed"
2857,PstI.TP152556,"PF03473,PF03476","PTHR14237,PTHR14237:SF30",KOG2362,2.8.1.9,,"GO:0030170,GO:0030151,GO:0003824",AT5G44720,,Molybdenum cofactor sulfurase family protein,LOC_Os09g38772,NA,"MOSC domain-containing protein, mitochondrial precursor, putative, expressed"
2858,PstI.TP152556,"PF03473,PF03476","PTHR14237,PTHR14237:SF30",KOG2362,2.8.1.9,,"GO:0030170,GO:0030151,GO:0003824",AT1G30910,,Molybdenum cofactor sulfurase family protein,LOC_Os09g38772,NA,"MOSC domain-containing protein, mitochondrial precursor, putative, expressed"
2859,PstI.TP152556,PF07983,"PTHR32227,PTHR32227:SF104",,,,,AT1G79480,,Carbohydrate-binding X8 domain superfamily protein,LOC_Os09g38784,NA,"retrotransposon protein, putative, unclassified, expressed"
2860,PstI.TP153865,PF04724,"PTHR12224,PTHR12224:SF1",,2.4.1.144,,"GO:0016020,GO:0006487,GO:0003830",AT3G27540,,"beta-1,4-N-acetylglucosaminyltransferase family protein",LOC_Os04g40150,NA,"glycosyl transferase family 17 protein, putative, expressed"
2864,PstI.TP15431,PF00070,PTHR22912,,1.6.5.9,K17871,"GO:0055114,GO:0016491",AT4G21490,NDB3,NAD(P)H dehydrogenase B3,LOC_Os05g26660,NA,"NADH-ubiquinone oxidoreductase, mitochondrial precursor, putative, expressed"
2865,PstI.TP15431,PF00781,"PTHR12358,PTHR12358:SF42",,2.7.1.91,K04718,GO:0016301,AT4G21540,SPHK1,sphingosine kinase 1,LOC_Os07g37580,NA,"diacylglycerol kinase, putative, expressed"
2867,PstI.TP15431,"PF16076,PF01553","PTHR10983,PTHR10983:SF28",KOG1505,2.3.1.51,K13513,"GO:0016746,GO:0008152",AT3G18850,LPAT5,lysophosphatidyl acyltransferase 5,LOC_Os01g57360,NA,"acyltransferase, putative, expressed"
2869,PstI.TP154924,PF00106,"PTHR24322,PTHR24322:SF568",KOG1210,1.1.1.102,K04708,"GO:0016491,GO:0008152",AT3G06060,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os02g47350,NA,"oxidoreductase, short chain dehydrogenase/reductase family, putative, expressed"
2870,PstI.TP154924,PF00010,"PTHR12565,PTHR12565:SF147",,,,GO:0046983,AT4G36930,SPT,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os02g56140,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
2872,PstI.TP154924,,"PTHR31342,PTHR31342:SF16",,,,,AT4G04980,,,LOC_Os01g46340,NA,"chloroplast unusual positioning protein, putative, expressed"
2874,PstI.TP154924,PF00459,"PTHR20854,PTHR20854:SF32",KOG1528,3.1.3.7,K01082,GO:0046854,AT5G54390,"AHL,ATAHL,HL",HAL2-like,LOC_Os02g56170,NA,"inositol-1-monophosphatase, putative, expressed"
2878,PstI.TP161537,PF01907,PTHR10768,KOG3475,,K02922,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",AT3G16080,,Zinc-binding ribosomal protein family protein,LOC_Os02g02130,NA,"ribosomal protein L37, putative, expressed"
2879,PstI.TP161537,,,,,,,,,,,NA,
2880,PstI.TP161537,"PF08263,PF00069,PF13855","PTHR27000,PTHR27000:SF42",KOG1187,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672,GO:0005515",AT4G28650,,Leucine-rich repeat transmembrane protein kinase family protein,LOC_Os02g02140,NA,"receptor protein kinase CLAVATA1 precursor, putative, expressed"
2881,PstI.TP163131,PF04844,"PTHR33057,PTHR33057:SF27",,,,,AT5G58360,"ATOFP3,OFP3",ovate family protein 3,LOC_Os07g48150,NA,"DUF623 domain containing protein, expressed"
2882,PstI.TP163131,,"PTHR34042:SF2,PTHR34042",,,,,AT2G30395,"ATOFP17,OFP17",ovate family protein 17,LOC_Os07g48140,NA,"ATOFP17/OFP17, putative, expressed"
2883,PstI.TP163618,PF13768,"PTHR10338,PTHR10338:SF125",,,,,AT1G19110,,inter-alpha-trypsin inhibitor heavy chain-related,LOC_Os07g42280,NA,"von Willebrand factor type A domain containing protein, expressed"
2885,PstI.TP163618,,"PTHR34045,PTHR34045:SF4",,,,,AT1G72490,,,LOC_Os07g42290,NA,expressed protein
2886,PstI.TP163618,PF00736,"PTHR11595,PTHR11595:SF27",KOG1668,,K03232,"GO:0006414,GO:0005853,GO:0003746",AT2G18110,,Translation elongation  factor EF1B/ribosomal protein S6 family protein,LOC_Os07g42300,NA,"elongation factor protein, putative, expressed"
2888,PstI.TP166135,PF06886,PTHR14326,,,,"GO:0060236,GO:0032147,GO:0005874,GO:0005819",AT5G15510,,TPX2 (targeting protein for Xklp2) protein family,LOC_Os12g38790,NA,"targeting protein for Xklp2 containing protein, expressed"
2889,PstI.TP166135,PF00076,"PTHR24012,PTHR24012:SF437",KOG0123,,,GO:0003676,AT4G00830,,RNA-binding (RRM/RBD/RNP motifs) family protein,LOC_Os12g38800,NA,"RNA recognition motif containing protein, putative, expressed"
2890,PstI.TP166135,PF12776,"PTHR31704,PTHR31704:SF24",,,,,AT2G24960,,,LOC_Os04g38960,NA,expressed protein
2892,PstI.TP166492,"PF00107,PF08240","PTHR11695,PTHR11695:SF556",KOG0023,,K00083,"GO:0055114,GO:0016491,GO:0008270",AT4G39330,"ATCAD9,CAD9",cinnamyl alcohol dehydrogenase 9,LOC_Os04g15920,NA,"dehydrogenase, putative, expressed"
2893,PstI.TP166492,"PF09818,PF00005,PF00664","PTHR24221,PTHR24221:SF265",,3.6.3.44,K05658,"GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810",AT3G28860,"ABCB19,ATABCB19,ATMDR1,ATMDR11,ATPGP19,MDR1,MDR11,PGP19",ATP binding cassette subfamily B19,LOC_Os03g08380,NA,"ABC transporter, ATP-binding protein, putative, expressed"
2894,PstI.TP166748,,"PTHR10315,PTHR10315:SF43",,6.3.2.19,,"GO:0007275,GO:0006511,GO:0005634",AT5G37930,,Protein with RING/U-box and TRAF-like domains,LOC_Os01g55640,NA,"seven in absentia protein family protein, putative, expressed"
2895,PstI.TP166748,,"PTHR32212,PTHR32212:SF96",,,,,AT1G69630,,F-box/RNI-like superfamily protein,LOC_Os01g06360,NA,"transposon protein, putative, unclassified, expressed"
2896,PstI.TP166748,"PF04601,PF07762","PTHR33086,PTHR33086:SF8",,,,,,,,LOC_Os01g14180,NA,expressed protein
2897,PstI.TP166900,PF12352,"PTHR21230,PTHR21230:SF1",KOG3251,,K08496,,AT2G36900,"ATMEMB11,MEMB11",membrin 11,LOC_Os03g45260,NA,"vesicle transport v-SNARE protein, putative, expressed"
2898,PstI.TP166900,PF07847,"PTHR22966,PTHR22966:SF4",KOG4281,1.13.11.19,K10712,"GO:0055114,GO:0016702",AT5G15120,,Protein of unknown function (DUF1637),LOC_Os03g45250,NA,"2-aminoethanethiol dioxygenase, putative, expressed"
2900,PstI.TP166900,PF04969,"PTHR22932,PTHR22932:SF7",,,,,AT3G03773,,HSP20-like chaperones superfamily protein,LOC_Os03g45270,NA,"CS domain containing protein, putative, expressed"
2904,PstI.TP168553,"PF17004,PF08492","PTHR14094,PTHR14094:SF9",KOG2376,,K03108,"GO:0048500,GO:0008312,GO:0006614",AT1G67680,,SRP72 RNA-binding domain,LOC_Os01g66560,NA,"signal recognition particle 72 kDa protein, putative, expressed"
2905,PstI.TP168553,PF12776,"PTHR31704,PTHR31704:SF25",,,,,AT4G02550,,,LOC_Os11g33260,NA,"retrotransposon protein, putative, unclassified, expressed"
2906,PstI.TP168553,,"PTHR35361,PTHR35361:SF1",,,,,,,,LOC_Os08g34410,NA,expressed protein
2907,PstI.TP168553,PF07714,"PTHR24361,PTHR24361:SF325",KOG0581,2.7.12.2,,"GO:0006468,GO:0004672",AT1G73500,"ATMKK9,MKK9",MAP kinase kinase 9,LOC_Os01g42400,NA,"STE_MEK_ste7_MAP2K.3 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
2908,PstI.TP168553,PF05132,"PTHR13408,PTHR13408:SF4",,,K03026,"GO:0006383,GO:0005666,GO:0003899,GO:0003677",AT5G09380,,RNA polymerase III RPC4,LOC_Os01g66580,NA,"RNA polymerase III RPC4 domain containing protein, expressed"
2910,PstI.TP17148,PF00201,"PTHR11926,PTHR11926:SF286",,2.4.1.324,,"GO:0016758,GO:0008152",AT1G22400,"ATUGT85A1,UGT85A1",UDP-Glycosyltransferase superfamily protein,LOC_Os02g51900,NA,"cytokinin-O-glucosyltransferase 2, putative, expressed"
2911,PstI.TP17148,,,,,,,,,,,NA,
2912,PstI.TP17148,PF13456,"PTHR33033,PTHR33033:SF23",,,,,,,,LOC_Os08g09440,NA,expressed protein
2913,PstI.TP17148,PF02902,"PTHR12606,PTHR12606:SF1",,3.4.22.68,,"GO:0008234,GO:0006508",AT3G06910,ULP1A,UB-like protease 1A,LOC_Os08g20480,NA,"OsFBO20 - F-box and other domain containing protein, expressed"
2915,PstI.TP17148,PF00076,"PTHR24012,PTHR24012:SF421",KOG0149,,,GO:0003676,AT1G22330,,RNA-binding (RRM/RBD/RNP motifs) family protein,LOC_Os02g51890,NA,"RNA recognition motif containing protein, putative, expressed"
2916,PstI.TP172804,PF05648,"PTHR12652,PTHR12652:SF24",KOG4186,,,"GO:0016559,GO:0005779",AT1G01820,PEX11C,peroxin 11c,LOC_Os03g02590,NA,"peroxisomal biogenesis factor 11, putative, expressed"
2917,PstI.TP172804,PF00847,"PTHR31985,PTHR31985:SF18",,,,"GO:0006355,GO:0003700",AT2G36450,HRD,Integrase-type DNA-binding superfamily protein,LOC_Os02g45420,NA,"AP2 domain containing protein, expressed"
2918,PstI.TP172804,PF03881,"PTHR12149,PTHR12149:SF8",KOG3021,,,,AT3G61080,,Protein kinase superfamily protein,LOC_Os03g02640,NA,"methylthioribose kinase, putative, expressed"
2919,PstI.TP172804,PF00722,"PTHR31062,PTHR31062:SF9",,2.4.1.207,,"GO:0005975,GO:0004553",AT4G13080,XTH1,xyloglucan endotransglucosylase/hydrolase 1,LOC_Os03g02610,NA,"glycosyl hydrolases family 16 protein, protein, expressed"
2920,PstI.TP172804,PF00383,"PTHR11079,PTHR11079:SF10",KOG1018,3.5.4.26,K11752,GO:0008270,AT4G20960,,Cytidine/deoxycytidylate deaminase family protein,LOC_Os03g02600,NA,"riboflavin biosynthesis protein ribD, putative, expressed"
2922,PstI.TP174245,,,,,,,,,,,NA,
2923,PstI.TP174245,PF05042,"PTHR31495,PTHR31495:SF2",,1.11.2.3,K17991,,AT1G70670,,Caleosin-related family protein,LOC_Os02g50140,NA,"caleosin related protein, putative, expressed"
2924,PstI.TP174245,PF00293,"PTHR12629,PTHR12629:SF4",KOG2839,"3.6.1.22,3.6.1.13",K07766,GO:0016787,AT1G14860,"atnudt18,NUDT18",nudix hydrolase homolog 18,LOC_Os02g50130,NA,"hydrolase, NUDIX family, domain containing protein, expressed"
2925,PstI.TP174387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2926,PstI.TP174387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2927,PstI.TP174387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2931,PstI.TP175125,"PF08263,PF13855","PTHR27001,PTHR27001:SF224",,2.7.11.1,,GO:0005515,AT1G34210,"ATSERK2,SERK2",somatic embryogenesis receptor-like kinase 2,LOC_Os11g31540,NA,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
2932,PstI.TP175125,PF03097,"PTHR23032,PTHR23032:SF2",,,,,AT5G14020,,Endosomal targeting BRO1-like domain-containing protein,LOC_Os11g31570,NA,expressed protein
2934,PstI.TP175653,,"PTHR31110,PTHR31110:SF2",,,,,AT4G24610,,,LOC_Os02g52280,NA,expressed protein
2935,PstI.TP175653,,"PTHR33597,PTHR33597:SF4",,,,,AT1G58120,,,LOC_Os02g52305,NA,expressed protein
2936,PstI.TP175653,PF00254,"PTHR10516,PTHR10516:SF214",KOG0544,5.2.1.8,K01802,GO:0006457,AT5G64350,"ATFKBP12,FKBP12",FK506-binding protein 12,LOC_Os02g52290,NA,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
2938,PstI.TP176663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2939,PstI.TP176663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2940,PstI.TP176663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2941,PstI.TP177807,,,,,,,,,,,NA,
2942,PstI.TP177807,,"PTHR33737,PTHR33737:SF2",,,,,AT3G53320,,,LOC_Os05g03060,NA,expressed protein
2943,PstI.TP177807,PF11904,"PTHR12447,PTHR12447:SF7",KOG0522,,,,AT1G62050,,Ankyrin repeat family protein,LOC_Os07g32790,NA,"ankyrin repeat domain containing protein, expressed"
2944,PstI.TP178455,PF03311,PTHR12290,KOG2729,,,"GO:0035556,GO:0016020",AT3G12180,,Cornichon family protein,LOC_Os12g32180,NA,"cornichon protein, putative, expressed"
2945,PstI.TP178455,PF00067,"PTHR24298,PTHR24298:SF97",KOG0156,1.14.13.121,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT5G57260,CYP71B10,"cytochrome P450, family 71, subfamily B, polypeptide 10",LOC_Os06g30500,NA,"cytochrome P450, putative, expressed"
2948,PstI.TP178455,PF07839,"PTHR33349,PTHR33349:SF6",,,,GO:0005516,AT5G15430,,Plant calmodulin-binding protein-related,LOC_Os03g11290,NA,expressed protein
2950,PstI.TP178720,"PF12783,PF01369","PTHR10663,PTHR10663:SF203",,,K18443,"GO:0032012,GO:0005086",AT1G13980,"EMB30,GN,VAN7",sec7 domain-containing protein,LOC_Os02g22090,NA,"pattern formation protein EMB30, putative, expressed"
2951,PstI.TP178720,"PF03330,PF01357","PTHR31692,PTHR31692:SF19",,,,,AT1G65680,"ATEXPB2,ATHEXP BETA 1.4,EXPB2",expansin B2,LOC_Os10g40700,NA,"expansin precursor, putative, expressed"
2952,PstI.TP180465,PF07690,"PTHR23500,PTHR23500:SF70",KOG0254,,,"GO:0055085,GO:0016021",AT5G26340,"ATSTP13,MSS1,STP13",Major facilitator superfamily protein,LOC_Os03g11900,NA,"transporter family protein, putative, expressed"
2953,PstI.TP180465,,,,,,,,,,,NA,
2954,PstI.TP180465,,PTHR23193,,,,,,,,LOC_Os07g48602,NA,"EMB1011, putative, expressed"
2955,PstI.TP18098,,,,,,,,,,,NA,
2956,PstI.TP18098,PF10260,"PTHR13527,PTHR13527:SF0",KOG3249,,,,AT2G35360,,ubiquitin family protein,LOC_Os09g39980,NA,"ubiquitin family protein, putative, expressed"
2958,PstI.TP182752,PF08662,PTHR13227,KOG2315,,K15026,,AT1G73180,,Eukaryotic translation initiation factor eIF2A family protein,LOC_Os02g39350,NA,"eukaryotic translation initiation factor 2A, putative, expressed"
2959,PstI.TP182752,"PF00187,PF00182","PTHR22595,PTHR22595:SF60",KOG4742,3.2.1.14,K01183,"GO:0008061,GO:0016998,GO:0006032,GO:0004568",AT3G54420,"ATCHITIV,ATEP3,CHIV,EP3",homolog of carrot EP3-3 chitinase,LOC_Os02g39330,NA,"CHIT1 - Chitinase family protein precursor, expressed"
2960,PstI.TP182752,,"PTHR36071:SF1,PTHR36071",,,,,AT5G40520,,,LOC_Os09g01600,NA,expressed protein
2963,PstI.TP182752,,"PTHR35483,PTHR35483:SF2",,,,,AT2G43630,,,LOC_Os02g39340,NA,"glycine-rich protein, putative, expressed"
2964,PstI.TP182752,PF03194,"PTHR12375,PTHR12375:SF32",KOG0796,,,"GO:0006376,GO:0005685,GO:0003729",AT5G17440,,LUC7 related protein,LOC_Os02g39300,NA,"RNA-binding protein Luc7-like, putative, expressed"
2965,PstI.TP184836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2966,PstI.TP184836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2968,PstI.TP184836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2970,PstI.TP184836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2972,PstI.TP188641,PF02544,"PTHR10556,PTHR10556:SF28",KOG1639,"1.3.1.93,1.3.1.38",K10258,"GO:0016627,GO:0016021,GO:0006629,GO:0005737",AT3G55360,"ATTSC13,CER10,ECR,TSC13",3-oxo-5-alpha-steroid 4-dehydrogenase family protein,LOC_Os01g05670,NA,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative, expressed"
2973,PstI.TP188641,PF14309,"PTHR21726,PTHR21726:SF38",,,,,AT5G02390,,Protein of unknown function (DUF3741),LOC_Os01g05660,NA,expressed protein
2979,PstI.TP188641,PF04387,PTHR11035,KOG3187,4.2.1.134,K10703,,AT5G10480,"PAS2,PEP","Protein-tyrosine phosphatase-like, PTPLA",LOC_Os04g20280,NA,expressed protein
2980,PstI.TP188641,PF00432,PTHR11774,KOG0367,2.5.1.59,K11713,GO:0003824,AT2G39550,"ATGGT-IB,GGB,PGGT-I",Prenyltransferase family protein,LOC_Os01g05680,NA,"geranylgeranyl transferase type-1 subunit beta, putative, expressed"
2982,PstI.TP189668,,PTHR36363,,,,,AT3G18800,,,LOC_Os04g59050,NA,expressed protein
2983,PstI.TP189668,PF00719,"PTHR10286,PTHR10286:SF22",KOG1626,3.6.1.1,K01507,"GO:0006796,GO:0005737,GO:0004427,GO:0000287",AT2G46860,"AtPPa3,PPa3",pyrophosphorylase 3,LOC_Os04g59040,NA,"soluble inorganic pyrophosphatase, putative, expressed"
2985,PstI.TP189668,,"PTHR32133,PTHR32133:SF134",,,,,,,,LOC_Os08g20492,NA,"OsFBX285 - F-box domain containing protein, expressed"
2986,PstI.TP189668,PF00226,,,,,,AT2G18465,,Chaperone DnaJ-domain superfamily protein,LOC_Os04g59060,NA,"heat shock protein DnaJ, putative, expressed"
2990,PstI.TP195038,PF02847,"PTHR12626,PTHR12626:SF2",,,,,AT1G22730,,MA3 domain-containing protein,LOC_Os03g12180,NA,"MA3 domain containing protein, expressed"
2991,PstI.TP195038,PF05042,"PTHR31495,PTHR31495:SF3",,1.11.2.3,K17991,,AT2G33380,"CLO-3,RD20",Caleosin-related family protein,LOC_Os03g12230,NA,"caleosin related protein, putative, expressed"
2992,PstI.TP195038,,"PTHR10366,PTHR10366:SF278",,,,,AT3G63140,CSP41A,chloroplast stem-loop binding protein of  41 kDa,LOC_Os07g11110,NA,"NAD dependent epimerase/dehydratase family protein, putative, expressed"
2993,PstI.TP195038,,"PTHR34709,PTHR34709:SF3",,,,,AT4G03220,,Protein with RNI-like/FBD-like domains,LOC_Os03g12200,NA,"OsFBX81 - F-box domain containing protein, expressed"
2994,PstI.TP195822,PF03087,"PTHR33070,PTHR33070:SF6",,,,,AT2G17080,,Arabidopsis protein of unknown function (DUF241),LOC_Os08g43760,NA,"carrier, putative, expressed"
2995,PstI.TP195822,PF03087,"PTHR33070,PTHR33070:SF19",,,,,AT2G17080,,Arabidopsis protein of unknown function (DUF241),LOC_Os08g43750,NA,"carrier, putative, expressed"
2996,PstI.TP195822,PF03087,"PTHR33070,PTHR33070:SF11",,,,,AT2G17070,,Arabidopsis protein of unknown function (DUF241),LOC_Os08g43740,NA,expressed protein
2997,PstI.TP195926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2999,PstI.TP195926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3000,PstI.TP195926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,PstI.TP197088,,"PTHR13620,PTHR13620:SF6",,,,,AT2G36110,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",LOC_Os04g14810,NA,"3-5 exonuclease domain-containing protein, putative, expressed"
3002,PstI.TP197088,PF01612,"PTHR13620,PTHR13620:SF6",,3.6.4.12,,"GO:0008408,GO:0006139,GO:0003676",AT4G13870,"ATWEX,ATWRNEXO,WEX,WRNEXO",Werner syndrome-like exonuclease,LOC_Os04g14810,NA,"3-5 exonuclease domain-containing protein, putative, expressed"
3003,PstI.TP197088,PF01612,"PTHR13620,PTHR13620:SF14",,3.6.4.12,,"GO:0008408,GO:0006139,GO:0003676",AT2G36110,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",LOC_Os01g53580,NA,"3-5 exonuclease domain-containing protein, putative, expressed"
3004,PstI.TP197088,PF01612,"PTHR13620,PTHR13620:SF6",,3.6.4.12,,"GO:0008408,GO:0006139,GO:0003676",AT4G13870,"ATWEX,ATWRNEXO,WEX,WRNEXO",Werner syndrome-like exonuclease,LOC_Os04g14810,NA,"3-5 exonuclease domain-containing protein, putative, expressed"
3005,PstI.TP197088,,"PTHR13620,PTHR13620:SF14",KOG4373,3.6.4.12,,,AT2G36110,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",LOC_Os01g53580,NA,"3-5 exonuclease domain-containing protein, putative, expressed"
3006,PstI.TP197088,PF00432,"PTHR11774,PTHR11774:SF6",,2.5.1.58,K05954,"GO:0003824,GO:0042127,GO:0018343,GO:0005965",AT5G40280,"ATFTB,ERA1,WIG",Prenyltransferase family protein,LOC_Os01g53600,NA,"farnesyltransferase subunit beta, putative, expressed"
3008,PstI.TP198419,PF11708,"PTHR12942,PTHR12942:SF2",,,K12819,,AT1G65660,SMP1,Pre-mRNA splicing Prp18-interacting factor,LOC_Os08g03390,NA,"pre-mRNA-splicing factor SLU7, putative, expressed"
3009,PstI.TP198419,PF11833,"PTHR33372,PTHR33372:SF1",,,,,AT1G08640,CJD1,Chloroplast J-like domain 1,LOC_Os08g03380,NA,"heat shock protein DnaJ, putative, expressed"
3010,PstI.TP198419,PF05553,"PTHR33098,PTHR33098:SF15",,,,,,,,LOC_Os08g03400,NA,expressed protein
3011,PstI.TP199606,PF02298,"PTHR33021,PTHR33021:SF61",,,,GO:0009055,AT2G02850,ARPN,plantacyanin,LOC_Os03g50160,NA,"plastocyanin-like domain containing protein, putative, expressed"
3012,PstI.TP199606,PF02298,"PTHR33021,PTHR33021:SF61",,,,GO:0009055,AT2G02850,ARPN,plantacyanin,LOC_Os03g50160,NA,"plastocyanin-like domain containing protein, putative, expressed"
3013,PstI.TP199606,PF02298,"PTHR33021,PTHR33021:SF57",,,,GO:0009055,AT2G02850,ARPN,plantacyanin,LOC_Os03g50140,NA,"plastocyanin-like domain containing protein, putative, expressed"
3014,PstI.TP199606,PF08241,PTHR12189,KOG1975,2.1.1.56,K00565,"GO:0008168,GO:0008152",AT3G20650,,mRNA capping enzyme family protein,LOC_Os08g08200,NA,"mRNA cap guanine-N7 methyltransferase 1, putative, expressed"
3015,PstI.TP20145,"PF10584,PF00227","PTHR11599,PTHR11599:SF12",KOG0863,3.4.25.1,K02725,"GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298",AT5G42790,"ARS5,ATPSM30,PAF1",proteasome alpha subunit F1,LOC_Os02g04100,NA,"peptidase, T1 family, putative, expressed"
3016,PstI.TP20145,PF05705,"PTHR12265,PTHR12265:SF11",KOG2521,,,,AT3G19970,,alpha/beta-Hydrolases superfamily protein,LOC_Os02g04110,NA,expressed protein
3018,PstI.TP20145,PF01467,"PTHR10695,PTHR10695:SF33",,2.7.7.3,K02201,"GO:0009058,GO:0003824",AT2G18250,"ATCOAD,COAD",4-phosphopantetheine adenylyltransferase,LOC_Os02g04120,NA,"cytidylyltransferase domain containing protein, expressed"
3019,PstI.TP20145,PF07816,PTHR33095,,,,,AT1G70420,,Protein of unknown function (DUF1645),LOC_Os02g04130,NA,"DUF1645 domain containing protein, putative, expressed"
3022,PstI.TP202284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3023,PstI.TP202284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3024,PstI.TP202284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
